종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"030350","드래곤플라이","KOSDAQ","디지털컨텐츠","2375","-105","-4.23","40630058375"
"203650","드림시큐리티","KOSDAQ","출판·매체복제","5180","-190","-3.54","262137805720"
"223250","드림씨아이에스","KOSDAQ","기타서비스","16950","450","2.73","95920965300"
"060570","드림어스컴퍼니","KOSDAQ","디지털컨텐츠","5550","-90","-1.60","315572150850"
"217620","디딤","KOSDAQ","숙박·음식","2100","75","3.70","79882641300"
"187870","디바이스이엔지","KOSDAQ","반도체","36550","-100","-0.27","257188058950"
"066670","디스플레이텍","KOSDAQ","IT부품","4675","-65","-1.37","87384716650"
"110990","디아이티","KOSDAQ","IT부품","12000","-300","-2.44","226800000000"
"263690","디알젬","KOSDAQ","의료·정밀기기","13200","-50","-0.38","149498052000"
"214680","디알텍","KOSDAQ","의료·정밀기기","1585","-25","-1.55","89684747645"
"263720","디앤씨미디어","KOSDAQ","디지털컨텐츠","47000","-850","-1.78","576930217000"
"109740","디에스케이","KOSDAQ","기계·장비","11200","150","1.36","227973345600"
"033430","디에스티","KOSDAQ","기계·장비","370","0","0.00","27363736280"
"131030","디에이치피코리아","KOSDAQ","제약","8000","-160","-1.96","132518376000"
"196490","디에이테크놀로지","KOSDAQ","기계·장비","6100","-290","-4.54","145561902700"
"066900","디에이피","KOSDAQ","IT부품","4495","-80","-1.75","102236540985"
"127120","디엔에이링크","KOSDAQ","기타서비스","4990","50","1.01","81804523080"
"092070","디엔에프","KOSDAQ","화학","28300","-1550","-5.19","304559732400"
"134580","디엠티","KOSDAQ","통신장비","3455","10","0.29","38868750000"
"039840","디오","KOSDAQ","의료·정밀기기","48650","-400","-0.82","760450485200"
"104460","디와이피엔에프","KOSDAQ","기계·장비","40250","450","1.13","431223406250"
"079810","디이엔티","KOSDAQ","기계·장비","6790","90","1.34","88520272610"
"227100","디자인","KOSDAQ","일반전기전자","18500","-350","-1.86","86367176000"
"113810","디젠스","KOSDAQ","운송장비·부품","1255","-80","-5.99","40948204005"
"043360","디지아이","KOSDAQ","정보기기","5350","270","5.31","48150000000"
"197140","디지캡","KOSDAQ","출판·매체복제","6260","-110","-1.73","53880871680"
"106520","디지탈옵틱","KOSDAQ","의료·정밀기기","6590","190","2.97","83638790660"
